"NR","Group","Translation","SysKey","ANREDE","ANREDETEXT","VORNAMESW","VORGABESW","JURPERSW","USEDSW","ORGANISATION","PDS_ANR","PDS_STANDARD","Language"
1,1,false,"{00000000-0000-0000-e01f-bcc20a2e3809}","Herr","Sehr geehrter Herr","N","J","","1",false,0,false,""
2,2,false,"{00000000-0000-0000-e11f-bcc20a2e3809}","Frau","Sehr geehrte Frau","N","J","","1",false,0,false,""
3,3,false,"{00000000-0000-0000-e21f-bcc20a2e3809}","Firma","Sehr geehrte Damen und Herren","N","N","","1",true,0,false,""
4,4,false,"{00000000-0000-0000-e31f-bcc20a2e3809}","Familien","Liebe Familie","N","J","","1",false,0,false,""
5,5,false,"{00000000-0000-0000-e41f-bcc20a2e3809}","","Sehr geehrte Damen und Herren","N","N","","1",true,0,false,""
6,6,false,"{00000000-0000-0000-e51f-bcc20a2e3809}","","Sehr geehrte Damen","N","N","","0",false,0,false,""
7,7,false,"{00000000-0000-0000-e61f-bcc20a2e3809}","","Sehr geehrte Herren","N","N","","1",false,0,false,""
8,8,false,"{00000000-0000-0000-fbea-c2604c283af2}","Monsieur","Monsieur,","0","0","0","1",false,0,false,""
9,9,false,"{00000000-0000-0000-00eb-c2604c283af2}","Messieurs","Messieurs,","0","0","0","1",false,0,false,""
10,10,false,"{00000000-0000-0000-03eb-c2604c283af2}","Madame","Madame,","0","0","0","1",false,0,false,""
11,11,false,"{00000000-0000-0000-38eb-c2604c283af2}","Mesdames","Mesdames,","0","0","0","0",false,0,false,""
12,12,false,"{00000000-0000-0000-7eeb-c2604c283af2}","Mister","Mr.","0","0","0","1",false,0,false,""
13,13,false,"{00000000-0000-0000-b1eb-c2604c283af2}","Misses","Mrs.","0","0","0","1",false,0,false,""
